# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 x3 y3 vx3 vy3 x4 y4 vx4 vy4 x5 y5 vx5 vy5 x6 y6 vx6 vy6 x7 y7 vx7 vy7 x8 y8 vx8 vy8 x9 y9 vx9 vy9 x10 y10 vx10 vy10 x11 y11 vx11 vy11 x12 y12 vx12 vy12 x13 y13 vx13 vy13 x14 y14 vx14 vy14 x15 y15 vx15 vy15 x16 y16 vx16 vy16 x17 y17 vx17 vy17 x18 y18 vx18 vy18 x19 y19 vx19 vy19 x20 y20 vx20 vy20 x21 y21 vx21 vy21 x22 y22 vx22 vy22 x23 y23 vx23 vy23 x24 y24 vx24 vy24
0.5 1.69582 1.25154 0.0583055 -0.830255 3.57088 2.07957 0.475099 0.825807 5.47669 1.67008 0.953374 0.00683225 6.9218 1.60371 0.510261 -0.125916 8.31601 1.89332 -0.0346468 0.453309 1.83756 3.40221 0.341788 0.137747 3.72121 3.23124 0.775745 -0.204195 4.55095 2.8694 -0.898101 -0.927863 7.03654 2.92972 0.739753 -0.80722 8.18895 3.27254 -0.288757 -0.121586 1.34295 4.8254 -0.647442 -0.349208 2.9426 4.51465 -0.781471 -0.970702 5.43654 5.47733 0.873085 0.954654 7.03451 4.52357 0.735691 -0.952865 8.053 5.18247 -0.560675 0.364936 2.03179 7.01144 0.730241 0.68954 3.31787 6.62402 -0.0309264 -0.085292 5.0161 6.94927 0.0322038 0.5652 7.12334 6.74904 0.91335 0.164749 8.44152 6.77656 0.216373 0.219793 1.2953 8.6455 -0.742737 0.624342 3.38293 8.783 0.099185 0.899326 4.54895 7.84579 -0.902096 -0.975081 6.67773 8.48284 0.0221302 0.299021 8.5965 8.10362 0.526325 -0.459432
0.55 1.69873 1.21003 0.0583055 -0.830255 3.59464 2.12086 0.475099 0.825807 5.52436 1.67042 0.953374 0.00683225 6.94731 1.59741 0.510261 -0.125916 8.31428 1.91599 -0.0346468 0.453309 1.85465 3.40909 0.341788 0.137747 3.75999 3.22103 0.775745 -0.204195 4.50604 2.82301 -0.898101 -0.927863 7.07353 2.88936 0.739753 -0.80722 8.17452 3.26646 -0.288757 -0.121586 1.31057 4.80794 -0.647442 -0.349208 2.90352 4.46611 -0.781471 -0.970702 5.4802 5.52506 0.873085 0.954654 7.0713 4.47592 0.735691 -0.952865 8.02496 5.20071 -0.560675 0.364936 2.0683 7.04591 0.730241 0.68954 3.31632 6.61976 -0.0309264 -0.085292 5.01771 6.97753 0.0322038 0.5652 7.16901 6.75728 0.91335 0.164749 8.45234 6.78755 0.216373 0.219793 1.25816 8.67672 -0.742737 0.624342 3.38789 8.82796 0.099185 0.899326 4.50385 7.79704 -0.902096 -0.975081 6.67884 8.49779 0.0221302 0.299021 8.62281 8.08065 0.526325 -0.459432
0.6 1.70165 1.16851 0.0583055 -0.830255 3.61839 2.16215 0.475099 0.825807 5.57202 1.67077 0.953374 0.00683225 6.97282 1.59112 0.510261 -0.125916 8.31255 1.93865 -0.0346468 0.453309 1.87174 3.41598 0.341788 0.137747 3.79878 3.21082 0.775745 -0.204195 4.46114 2.77662 -0.898101 -0.927863 7.11052 2.849 0.739753 -0.80722 8.16008 3.26038 -0.288757 -0.121586 1.2782 4.79048 -0.647442 -0.349208 2.86445 4.41758 -0.781471 -0.970702 5.52385 5.57279 0.873085 0.954654 7.10808 4.42828 0.735691 -0.952865 7.99693 5.21896 -0.560675 0.364936 2.10481 7.08039 0.730241 0.68954 3.31478 6.61549 -0.0309264 -0.085292 5.01932 7.00579 0.0322038 0.5652 7.21468 6.76552 0.91335 0.164749 8.46316 6.79854 0.216373 0.219793 1.22102 8.70794 -0.742737 0.624342 3.39284 8.87293 0.099185 0.899326 4.45874 7.74828 -0.902096 -0.975081 6.67994 8.51275 0.0221302 0.299021 8.64913 8.05767 0.526325 -0.459432
0.65 1.70457 1.127 0.0583055 -0.830255 3.64215 2.20344 0.475099 0.825807 5.61969 1.67111 0.953374 0.00683225 6.99834 1.58482 0.510261 -0.125916 8.31081 1.96132 -0.0346468 0.453309 1.88883 3.42287 0.341788 0.137747 3.83757 3.20061 0.775745 -0.204195 4.41623 2.73022 -0.898101 -0.927863 7.14751 2.80864 0.739753 -0.80722 8.14564 3.2543 -0.288757 -0.121586 1.24583 4.77301 -0.647442 -0.349208 2.82538 4.36904 -0.781471 -0.970702 5.56751 5.62052 0.873085 0.954654 7.14487 4.38064 0.735691 -0.952865 7.96889 5.23721 -0.560675 0.364936 2.14132 7.11487 0.730241 0.68954 3.31323 6.61123 -0.0309264 -0.085292 5.02093 7.03405 0.0322038 0.5652 7.26034 6.77375 0.91335 0.164749 8.47398 6.80953 0.216373 0.219793 1.18389 8.73916 -0.742737 0.624342 3.3978 8.91789 0.099185 0.899326 4.41364 7.69953 -0.902096 -0.975081 6.68105 8.5277 0.0221302 0.299021 8.67544 8.0347 0.526325 -0.459432
0.7 1.70748 1.08549 0.0583055 -0.830255 3.6659 2.24473 0.475099 0.825807 5.66736 1.67145 0.953374 0.00683225 7.02385 1.57853 0.510261 -0.125916 8.30908 1.98398 -0.0346468 0.453309 1.90592 3.42976 0.341788 0.137747 3.87636 3.1904 0.775745 -0.204195 4.37133 2.68383 -0.898101 -0.927863 7.18449 2.76828 0.739753 -0.80722 8.1312 3.24822 -0.288757 -0.121586 1.21346 4.75555 -0.647442 -0.349208 2.7863 4.32051 -0.781471 -0.970702 5.61116 5.66826 0.873085 0.954654 7.18165 4.33299 0.735691 -0.952865 7.94086 5.25546 -0.560675 0.364936 2.17784 7.14934 0.730241 0.68954 3.31168 6.60696 -0.0309264 -0.085292 5.02254 7.06231 0.0322038 0.5652 7.30601 6.78199 0.91335 0.164749 8.48479 6.82052 0.216373 0.219793 1.14675 8.77037 -0.742737 0.624342 3.40276 8.96286 0.099185 0.899326 4.36853 7.65078 -0.902096 -0.975081 6.68216 8.54265 0.0221302 0.299021 8.70176 8.01173 0.526325 -0.459432
0.75 1.7104 1.04398 0.0583055 -0.830255 3.68966 2.28602 0.475099 0.825807 5.71503 1.67179 0.953374 0.00683225 7.04936 1.57223 0.510261 -0.125916 8.30735 2.00665 -0.0346468 0.453309 1.92301 3.43664 0.341788 0.137747 3.91514 3.18019 0.775745 -0.204195 4.32642 2.63744 -0.898101 -0.927863 7.22148 2.72792 0.739753 -0.80722 8.11677 3.24214 -0.288757 -0.121586 1.18109 4.73809 -0.647442 -0.349208 2.74723 4.27197 -0.781471 -0.970702 5.65481 5.71599 0.873085 0.954654 7.21843 4.28535 0.735691 -0.952865 7.91283 5.2737 -0.560675 0.364936 2.21435 7.18382 0.730241 0.68954 3.31014 6.6027 -0.0309264 -0.085292 5.02415 7.09057 0.0322038 0.5652 7.35168 6.79023 0.91335 0.164749 8.49561 6.83151 0.216373 0.219793 1.10961 8.80159 -0.742737 0.624342 3.40772 9.00783 0.099185 0.899326 4.32343 7.60202 -0.902096 -0.975081 6.68326 8.5576 0.0221302 0.299021 8.72808 7.98876 0.526325 -0.459432
0.8 1.71331 1.00246 0.0583055 -0.830255 3.71341 2.32731 0.475099 0.825807 5.7627 1.67213 0.953374 0.00683225 7.07488 1.56593 0.510261 -0.125916 8.30562 2.02931 -0.0346468 0.453309 1.9401 3.44353 0.341788 0.137747 3.95393 3.16998 0.775745 -0.204195 4.28152 2.59104 -0.898101 -0.927863 7.25847 2.68756 0.739753 -0.80722 8.10233 3.23606 -0.288757 -0.121586 1.14871 4.72063 -0.647442 -0.349208 2.70816 4.22344 -0.781471 -0.970702 5.69847 5.76372 0.873085 0.954654 7.25522 4.23771 0.735691 -0.952865 7.88479 5.29195 -0.560675 0.364936 2.25086 7.2183 0.730241 0.68954 3.30859 6.59843 -0.0309264 -0.085292 5.02576 7.11883 0.0322038 0.5652 7.39735 6.79847 0.91335 0.164749 8.50643 6.8425 0.216373 0.219793 1.07248 8.83281 -0.742737 0.624342 3.41268 9.05279 0.099185 0.899326 4.27832 7.55327 -0.902096 -0.975081 6.68437 8.57255 0.0221302 0.299021 8.75439 7.96579 0.526325 -0.459432
0.85 1.71623 0.96095 0.0583055 -0.830255 3.73717 2.3686 0.475099 0.825807 5.81037 1.67247 0.953374 0.00683225 7.10039 1.55964 0.510261 -0.125916 8.30388 2.05198 -0.0346468 0.453309 1.95719 3.45042 0.341788 0.137747 3.99272 3.15977 0.775745 -0.204195 4.23661 2.54465 -0.898101 -0.927863 7.29546 2.6472 0.739753 -0.80722 8.08789 3.22999 -0.288757 -0.121586 1.11634 4.70317 -0.647442 -0.349208 2.66908 4.1749 -0.781471 -0.970702 5.74212 5.81146 0.873085 0.954654 7.292 4.19006 0.735691 -0.952865 7.85676 5.3102 -0.560675 0.364936 2.28737 7.25278 0.730241 0.68954 3.30705 6.59417 -0.0309264 -0.085292 5.02737 7.14709 0.0322038 0.5652 7.44301 6.8067 0.91335 0.164749 8.51725 6.85349 0.216373 0.219793 1.03534 8.86402 -0.742737 0.624342 3.41764 9.09776 0.099185 0.899326 4.23322 7.50451 -0.902096 -0.975081 6.68548 8.5875 0.0221302 0.299021 8.78071 7.94282 0.526325 -0.459432
0.9 1.71914 0.919437 0.0583055 -0.830255 3.76092 2.40989 0.475099 0.825807 5.85804 1.67282 0.953374 0.00683225 7.1259 1.55334 0.510261 -0.125916 8.30215 2.07465 -0.0346468 0.453309 1.97428 3.45731 0.341788 0.137747 4.0315 3.14956 0.775745 -0.204195 4.19171 2.49826 -0.898101 -0.927863 7.33244 2.60684 0.739753 -0.80722 8.07345 3.22391 -0.288757 -0.121586 1.08397 4.68571 -0.647442 -0.349208 2.63001 4.12637 -0.781471 -0.970702 5.78578 5.85919 0.873085 0.954654 7.32879 4.14242 0.735691 -0.952865 7.82873 5.32844 -0.560675 0.364936 2.32388 7.28725 0.730241 0.68954 3.3055 6.5899 -0.0309264 -0.085292 5.02898 7.17535 0.0322038 0.5652 7.48868 6.81494 0.91335 0.164749 8.52807 6.86448 0.216373 0.219793 0.998203 8.89524 -0.742737 0.624342 3.4226 9.14273 0.099185 0.899326 4.18811 7.45576 -0.902096 -0.975081 6.68658 8.60245 0.0221302 0.299021 8.80703 7.91984 0.526325 -0.459432
0.95 1.72206 0.877925 0.0583055 -0.830255 3.78468 2.45118 0.475099 0.825807 5.9057 1.67316 0.953374 0.00683225 7.15141 1.54705 0.510261 -0.125916 8.30042 2.09731 -0.0346468 0.453309 1.99136 3.46419 0.341788 0.137747 4.07029 3.13935 0.775745 -0.204195 4.1468 2.45186 -0.898101 -0.927863 7.36943 2.56647 0.739753 -0.80722 8.05901 3.21783 -0.288757 -0.121586 1.0516 4.66825 -0.647442 -0.349208 2.59094 4.07783 -0.781471 -0.970702 5.82943 5.90692 0.873085 0.954654 7.36557 4.09478 0.735691 -0.952865 7.80069 5.34669 -0.560675 0.364936 2.3604 7.32173 0.730241 0.68954 3.30395 6.58564 -0.0309264 -0.085292 5.03059 7.20361 0.0322038 0.5652 7.53435 6.82318 0.91335 0.164749 8.53889 6.87547 0.216373 0.219793 0.961066 8.92646 -0.742737 0.624342 3.42756 9.18769 0.099185 0.899326 4.14301 7.40701 -0.902096 -0.975081 6.68769 8.6174 0.0221302 0.299021 8.83334 7.89687 0.526325 -0.459432
