t,theta1,omega1,theta2,omega2,E1,E2,E_total
1.325,-0.2921561826,1.208404928,0.1577807749,-0.7544149981,1.145819168,0.4064267433,1.549209687
1.35,-0.2611182495,1.273413507,0.1384640966,-0.7901130043,1.143331402,0.4060292897,1.547234034
1.375,-0.228548128,1.330908963,0.1183162998,-0.8208710922,1.140755014,0.4054984648,1.54486238
1.4,-0.1946387955,1.380486684,0.09746324725,-0.8465056964,1.138108136,0.4048420859,1.542119449
1.425,-0.1595927706,1.421788945,0.0760349634,-0.8668676808,1.135406591,0.404073482,1.539044001
1.45,-0.1236208699,1.454510538,0.05416475747,-0.8818435736,1.132663837,0.4032109181,1.535687442
1.475,-0.08694082965,1.478403891,0.0319883202,-0.8913564441,1.129891146,0.4022767814,1.532111856
1.5,-0.04977580854,1.49328345,0.009642803269,-0.8953663937,1.127098002,0.4012965708,1.52838758
1.525,-0.01235279149,1.499029158,-0.01273410843,-0.8938706452,1.12429266,0.4002977371,1.524590397
1.55,0.02509908009,1.495588862,-0.03500512167,-0.886903222,1.121482833,0.3993084325,1.520798503
1.575,0.06235022384,1.482979543,-0.0570342467,-0.8745342265,1.11867642,0.3983562324,1.517089371
1.6,0.09917234755,1.46128733,-0.07868768622,-0.8568687369,1.115882238,0.3974668922,1.513536679
1.625,0.1353401653,1.430666296,-0.09983469226,-0.8340453528,1.113110659,0.3966632005,1.510207422
1.65,0.1706330686,1.39133609,-0.1203483828,-0.806234432,1.110374122,0.3959639856,1.507159356
1.675,0.2048367258,1.343578535,-0.1401065108,-0.7736360672,1.107687452,0.3953833191,1.504438883
1.7,0.2377445836,1.287733334,-0.1589921805,-0.7364778593,1.105067955,0.3949299545,1.502079456
1.725,0.2691592538,1.224193074,-0.1768945049,-0.6950125439,1.102535263,0.3946070214,1.500100571
1.75,0.2988937668,1.153397747,-0.1937092046,-0.6495155322,1.10011093,0.3944119852,1.498507378
1.775,0.326772686,1.075828994,-0.2093391425,-0.6002824209,1.097817786,0.3943368661,1.497290887
1.8,0.3526330752,0.9920042806,-0.2236947982,-0.5476265243,1.095679079,0.3943687003,1.496428763
1.825,0.3763253235,0.9024712064,-0.2366946805,-0.4918764735,1.093717448,0.3944902136,1.495886626
1.85,0.3977138299,0.8078021109,-0.2482656813,-0.4333739195,1.091953781,0.3946806687,1.495619799
1.875,0.4166775588,0.7085891034,-0.258343374,-0.3724713682,1.090406021,0.3949168405,1.495575377
1.9,0.4331104779,0.6054396186,-0.266872259,-0.3095301635,1.089087984,0.3951740693,1.495694541
1.925,0.446921891,0.4989725479,-0.2738059613,-0.2449186267,1.088008268,0.3954273389,1.495914977
1.95,0.4580366828,0.3898149626,-0.2791073831,-0.1790103496,1.087169296,0.3956523311,1.496173305
1.975,0.4663954884,0.2785994056,-0.2827488161,-0.1121826284,1.086566584,0.3958264055,1.496407411
2,0.4719548014,0.1659616953,-0.2847120153,-0.04481501992,1.08618826,0.3959294644,1.496558576
2.025,0.474687033,0.05253915712,-0.2849882387,0.02271200575,1.086014886,0.3959446663,1.496573337
2.05,0.4745805309,-0.06103082505,-0.2835782544,0.09001834788,1.086019605,0.395858961,1.496405009
2.075,0.4716395653,-0.1741120594,-0.2804923152,0.1567255255,1.086168634,0.3956634284,1.496014822
2.1,0.4658842836,-0.2860707311,-0.2757501024,0.2224579312,1.086422089,0.3953534122,1.495372665
2.125,0.4573506363,-0.3962766549,-0.2693806386,0.2868441206,1.086735131,0.394928452,1.494457405
2.15,0.4460902682,-0.5041047247,-0.2614221662,0.3495181706,1.087059397,0.3943920228,1.493256827
2.175,0.4321703703,-0.6089366767,-0.2519219915,0.4101211302,1.087344663,0.3937511035,1.491767205
2.2,0.4156734823,-0.710163266,-0.2409362917,0.4683025862,1.087540684,0.3930156029,1.489992566
2.225,0.3966972354,-0.8071869299,-0.2285298796,0.5237223555,1.087599122,0.3921976761,1.487943694
2.25,0.375354021,-0.8994249855,-0.2147759263,0.5760523086,1.087475498,0.3913109721,1.485636961
2.275,0.3517705731,-0.9863133717,-0.1997556348,0.6249783191,1.087131064,0.3903698536,1.483093047
2.3,0.3260874505,-1.067310912,-0.1835578654,0.670202325,1.086534512,0.3893886333,1.480335626
2.325,0.2984584067,-1.141904032,-0.1662787064,0.7114444782,1.085663428,0.3883808667,1.477390101
2.35,0.269049637,-1.209611839,-0.1480209918,0.748445349,1.084505424,0.3873587398,1.474282449
2.375,0.2380388954,-1.269991416,-0.1288937631,0.7809681463,1.083058865,0.386332584,1.471038237
2.4,0.2056144782,-1.32264318,-0.1090116756,0.808800906,1.081333156,0.3853105428,1.467681856
2.425,0.1719740749,-1.367216111,-0.0884943514,0.8317585983,1.079348551,0.3842984038,1.464235993
2.45,0.137323492,-1.403412648,-0.06746568083,0.8496850999,1.077135485,0.3832996044,1.460721376
2.475,0.1018752606,-1.43099307,-0.04605307722,0.8624549794,1.074733449,0.3823154027,1.457156755
2.5,0.06584714254,-1.449779156,-0.02438668962,0.8699750452,1.072189443,0.3813452007,1.453559134
2.525,0.02946055676,-1.459656968,-0.002598580364,0.872185612,1.069556093,0.3803869925,1.449944184
2.55,-0.007061052589,-1.460578617,0.01917812514,0.869061448,1.066889502,0.3794379063,1.446326806
2.575,-0.04349387788,-1.452562935,0.04081010797,0.8606123734,1.064246951,0.3784948003,1.442721779
2.6,-0.07961541256,-1.435695,0.06216473566,0.8468834934,1.061684549,0.3775548708,1.43914442
2.625,-0.1152060896,-1.410124534,0.08311094337,0.8279550569,1.059254962,0.3766162289,1.4356112
2.65,-0.150050866,-1.376063227,0.1035201068,0.8039419458,1.057005309,0.3756784048,1.432140241
2.675,-0.1839407291,-1.333781108,0.123266898,0.7749928086,1.054975342,0.3747427439,1.428751647
2.7,-0.2166741005,-1.283602112,0.1422301152,0.741288864,1.053195982,0.3738126652,1.425467605
2.725,-0.2480581219,-1.225899017,0.1602934788,0.7030424056,1.051688266,0.3728937606,1.422312258
2.75,-0.2779098079,-1.161087956,0.1773463871,0.6604950468,1.050462757,0.3719937263,1.419311297
2.775,-0.3060570593,-1.089622711,0.1932846247,0.6139157493,1.049519414,0.3711221257,1.416491309
2.8,-0.3323395322,-1.011988994,0.20801102,0.5635986779,1.048847914,0.3702899948,1.41387888
2.825,-0.3566093666,-0.9286989004,0.2214360472,0.5098609276,1.048428396,0.3695093118,1.411499505
2.85,-0.37873178,-0.8402856942,0.2334783696,0.4530401625,1.048232567,0.3687923595,1.409376355
2.875,-0.3985855361,-0.7472990641,0.2440653243,0.3934922043,1.048225109,0.3681510171,1.407528963
2.9,-0.4160633018,-0.6503009422,0.2531333457,0.3315886006,1.048365298,0.367596023,1.405971907
2.925,-0.4310719077,-0.5498619447,0.260628328,0.2677141981,1.048608766,0.36713625,1.404713568
2.95,-0.4435325273,-0.4465584543,0.2665059278,0.2022647374,1.048909304,0.3667780375,1.403755036
2.975,-0.4533807913,-0.3409703294,0.2707318065,0.1356444784,1.049220639,0.3665246212,1.403089243
3,-0.4605668518,-0.2336791903,0.2732818143,0.06826386103,1.049498107,0.3663756944,1.40270039
3.025,-0.4650554105,-0.1252672046,0.2741421154,0.000537195908,1.049700143,0.3663271324,1.402563705
3.05,-0.466825721,-0.01631627178,0.2733092564,-0.06711961999,1.049789558,0.3663708993,1.402645598
3.075,-0.4658715756,0.09259251233,0.2707901774,-0.1342913753,1.049734543,0.3664951509,1.402904207
3.1,-0.4622012796,0.2008792421,0.2666021667,-0.2005658155,1.049509385,0.3666845339,1.403290345
3.125,-0.4558376174,0.3079655756,0.2607727581,-0.265535925,1.049094876,0.3669206739,1.403748842
3.15,-0.4468178073,0.4132752304,0.2533395715,-0.328802231,1.048478428,0.3671828348,1.404220216
3.175,-0.4351934416,0.5162347334,0.244350095,-0.3899751347,1.047653896,0.3674487205,1.404642642
3.2,-0.421030403,0.6162745387,0.2338614086,-0.4486772727,1.046621149,0.3676953848,1.404954129
3.225,-0.4044087478,0.7128306166,0.2219398487,-0.5045459014,1.045385423,0.3679002067,1.405094815
3.25,-0.3854225425,0.8053465864,0.2086606125,-0.5572352958,1.043956495,0.3680418847,1.405009293
3.275,-0.3641796399,0.8932764429,0.1941073028,-0.6064191412,1.042347756,0.368101401,1.404648848
3.3,-0.3408013787,0.9760878926,0.1783714129,-0.651792894,1.040575205,0.3680629076,1.403973511
3.325,-0.3154221936,1.053266279,0.1615517535,-0.6930760768,1.038656454,0.3679144869,1.402953822
3.35,-0.2881891191,1.124319043,0.1437538235,-0.7300144716,1.036609784,0.3676487469,1.40157221
3.375,-0.2592611769,1.188780625,0.1250891275,-0.7623821688,1.034453307,0.367263217,1.399823917
3.4,-0.2288086359,1.24621769,0.1056744442,-0.7899834264,1.032204272,0.3667605207,1.397717405
3.425,-0.1970121398,1.296234505,0.08563105191,-0.8126542981,1.029878562,0.3661483127,1.395274223
3.45,-0.1640616991,1.338478313,0.06508391538,-0.8302639858,1.027490392,0.3654389781,1.392528307
3.475,-0.1301555524,1.372644493,0.04416084392,-0.8427158821,1.02505221,0.3646491081,1.389524757
3.5,-0.09549890166,1.398481318,0.02299162697,-0.8499482703,1.022574808,0.363798773,1.386318128
3.525,-0.06030253684,1.415794123,0.001707156839,-0.8519346613,1.020067616,0.3629106286,1.382970297
3.55,-0.02478136494,1.424448702,-0.01956145228,-0.8486837558,1.017539137,0.3620088991,1.379548031
3.575,0.01084713469,1.424373806,-0.04068373965,-0.8402390294,1.014997487,0.3611182861,1.376120335
3.6,0.04636450488,1.415562619,-0.06153075837,-0.8266779536,1.012450994,0.3602628591,1.372755721
3.625,0.08155292888,1.398073165,-0.08197591187,-0.8081108702,1.009908778,0.3594649805,1.369519526
3.65,0.116196845,1.372027621,-0.1018957583,-0.7846795535,1.007381288,0.3587443192,1.366471389
3.675,0.1500845309,1.337610583,-0.1211707757,-0.7565554976,1.004880717,0.3581169992,1.36366301
3.7,0.1830096319,1.295066351,-0.1396860805,-0.7239379766,1.002421261,0.3575949228,1.361136287
3.725,0.2147726111,1.244695375,-0.1573320969,-0.6870519265,1.000019198,0.3571852996,1.358921908
3.75,0.2451821008,1.186849987,-0.1740051696,-0.6461457033,0.9976927499,0.3568903976,1.357038439
3.775,0.2740561407,1.121929623,-0.1896081209,-0.6014887686,0.9954617335,0.356707526,1.355491948
3.8,0.3012232921,1.050375705,-0.2040507494,-0.5533693529,0.9933470032,0.3566292422,1.354276159
