# t, theta1, omega1, theta2, omega2, E_total
3.35, -1.076552898, 0.0657908551, -0.1189520974, 0.2250456884, 5.106927719
3.4, -1.063059134, 0.4734420243, -0.1068664514, 0.2574092803, 5.095825618
3.45, -1.029294662, 0.8759159428, -0.09330708694, 0.2840214653, 5.083652353
3.5, -0.9756298645, 1.268615605, -0.07855677527, 0.3050868212, 5.071224152
3.55, -0.9026889423, 1.645919622, -0.06288673085, 0.3208517722, 5.059367247
3.6, -0.8114095208, 2.000878652, -0.04655619263, 0.3315381742, 5.048814853
3.65, -0.7031119668, 2.325144085, -0.02981519481, 0.337283229, 5.040118052
3.7, -0.579564868, 2.609203482, -0.01291003985, 0.3380927243, 5.033579854
3.75, -0.4430301047, 2.842963614, 0.003909382824, 0.3338152288, 5.029220698
3.8, -0.2962704647, 3.016653767, 0.0203816588, 0.3241441111, 5.026782618
3.85, -0.1425064115, 3.121927784, 0.03622680261, 0.3086515561, 5.025776997
3.9, 0.01468295313, 3.152953393, 0.05114171467, 0.2868541363, 5.025575676
3.95, 0.1715077926, 3.107236074, 0.06479958862, 0.2583037297, 5.025536627
4, 0.3241453971, 2.985966628, 0.07685426559, 0.2226921814, 5.025144987
4.05, 0.4689213664, 2.793805075, 0.08694985684, 0.179954776, 5.024141492
4.1, 0.6024670768, 2.538172726, 0.09473519299, 0.1303574943, 5.022607776
4.15, 0.7218334593, 2.228252885, 0.09988197247, 0.07455613301, 5.020984008
4.2, 0.8245527527, 1.87395018, 0.1021050102, 0.01362054416, 5.020008357
4.25, 0.9086518343, 1.485023875, 0.1011827899, -0.05097724582, 5.020585542
4.3, 0.9726294541, 1.070523986, 0.09697657797, -0.1174079095, 5.023608219
4.35, 1.015413732, 0.6385643833, 0.0894465832, -0.1835570663, 5.029765825
4.4, 1.03631606, 0.1963953604, 0.07866395193, -0.2471185702, 5.039378903
4.45, 1.034994556, -0.2493012969, 0.06481769778, -0.3057029246, 5.052293099
4.5, 1.01143595, -0.6919857827, 0.04821594094, -0.3569556801, 5.067857164
4.55, 0.9659601453, -1.12479515, 0.0292810757, -0.3986811275, 5.084995114
4.6, 0.8992470647, -1.54013259, 0.008538722315, -0.4289663537, 5.102365536
4.65, 0.8123807013, -1.929406045, -0.01339941238, -0.44629972, 5.118582905
4.7, 0.7069005346, -2.283009866, -0.03585830663, -0.4496762998, 5.132459462
4.75, 0.5848461095, -2.590626818, -0.05812715648, -0.4386812811, 5.143215795
4.8, 0.4487776967, -2.841882521, -0.07949032428, -0.4135415766, 5.150608727
4.85, 0.3017562131, -3.027304375, -0.09925988191, -0.3751366898, 5.15493963
4.9, 0.1472704928, -3.139435171, -0.1168075455, -0.3249628908, 5.156934594
4.95, -0.01089015884, -3.173863863, -0.1315936234, -0.2650499814, 5.157523259
5, -0.1688073247, -3.129909939, -0.1431907256, -0.1978365338, 5.157574175
5.05, -0.3226260236, -3.010764144, -0.1513004409, -0.1260158426, 5.15765887
5.1, -0.4687392769, -2.823034446, -0.1557619179, -0.05236906939, 5.157907876
5.15, -0.6039372381, -2.575814611, -0.1565521478, 0.02039707279, 5.157992677
5.2, -0.7255026254, -2.279512637, -0.153778562, 0.08979330823, 5.157229568
5.25, -0.8312471778, -1.944705073, -0.1476651815, 0.1536615119, 5.154768725
5.3, -0.9194960422, -1.5812271, -0.1385339187, 0.2102545993, 5.149814304
5.35, -0.9890350705, -1.197608516, -0.1267827383, 0.2582825204, 5.141821513
5.4, -1.039039009, -0.8008690429, -0.1128623128, 0.2969270806, 5.130630082
5.45, -1.068997439, -0.3966209021, -0.09725263642, 0.3258294652, 5.116513615
5.5, -1.078651858, 0.01060223165, -0.08044086279, 0.3450543834, 5.100144353
5.55, -1.067953118, 0.4168734564, -0.06290144578, 0.35503434, 5.082488915
5.6, -1.037044443, 0.8183327796, -0.04507949647, 0.3564972671, 5.064660588
5.65, -0.9862717393, 1.210645917, -0.02737810427, 0.3503809391, 5.047757695
5.7, -0.9162196417, 1.588527743, -0.01015018218, 0.3377383955, 5.032716065
5.75, -0.8277682724, 1.945402851, 0.006304847201, 0.3196399551, 5.02019782
5.8, -0.7221618912, 2.2732831, 0.02173952866, 0.2970790669, 5.010530228
5.85, -0.6010766108, 2.562938822, 0.03595242059, 0.2708908003, 5.003698798
5.9, -0.4666710889, 2.804412664, 0.04877858188, 0.2416925836, 4.999390264
5.95, -0.3216030504, 2.987863571, 0.0600778427, 0.2098561591, 4.997074817
6, -0.1689972903, 3.10463821, 0.06972259279, 0.175517034, 4.99611384
6.05, -0.01235833367, 3.148374346, 0.07758702214, 0.1386228635, 4.995878551
6.1, 0.1445677149, 3.115887872, 0.08353966623, 0.09901588454, 4.995865273
6.15, 0.2979654464, 3.007620428, 0.08744070239, 0.0565381974, 4.995793
6.2, 0.444131138, 2.827533956, 0.08914475998, 0.01114421838, 4.995668736
6.25, 0.5796351958, 2.582494235, 0.08850917836, -0.03699659091, 4.995807064
6.3, 0.7014445299, 2.281322703, 0.08540684625, -0.08742125434, 4.996794523
6.35, 0.8069943083, 1.933761274, 0.07974214676, -0.1393286319, 4.999397508
6.4, 0.8942105884, 1.549574602, 0.07146820099, -0.1915722605, 5.004423343
6.45, 0.9614947281, 1.137935129, 0.06060355449, -0.2426892152, 5.012555269
6.5, 1.007685349, 0.7071412523, 0.04724661715, -0.2909601132, 5.024190179
6.55, 1.032014106, 0.2646423194, 0.0315864569, -0.3344938454, 5.03931096
6.6, 1.034068945, -0.1827010447, 0.01390887644, -0.3713304592, 5.057422253
6.65, 1.013774403, -0.6282109541, -0.005402979825, -0.3995560995, 5.077569614
6.7, 0.9713939027, -1.064934072, -0.02587394925, -0.417424356, 5.098448304
6.75, 0.9075543082, -1.485225168, -0.04694828426, -0.4234783245, 5.118590709
6.8, 0.823288265, -1.880468368, -0.06800707577, -0.4166669918, 5.136602941
6.85, 0.7200850322, -2.241031555, -0.08839119822, -0.3964483343, 5.151405123
6.9, 0.5999360096, -2.556535258, -0.1074288932, -0.362870172, 5.162420967
6.95, 0.4653580061, -2.816475349, -0.1244666366, -0.3166190212, 5.169665635
7, 0.3193771111, -3.011161758, -0.1389014532, -0.2590277485, 5.173699774
7.05, 0.1654604242, -3.132833456, -0.1502124378, -0.1920354612, 5.175450532
7.1, 0.007392333244, -3.176717414, -0.1579890312, -0.1180979765, 5.175939231
7.15, -0.1508951387, -3.141763982, -0.1619536693, -0.0400537742, 5.175986953
7.2, -0.3055160291, -3.030847853, -0.1619768484, 0.03904297203, 5.175980338
7.25, -0.4528190079, -2.85036507, -0.1580833559, 0.1161057345, 5.175763894
7.3, -0.5895424996, -2.609328093, -0.1504493078, 0.1881970511, 5.174687061
7.35, -0.71291667, -2.318190178, -0.1393905147, 0.252691493, 5.171788245
7.4, -0.8207055466, -1.987669591, -0.1253434264, 0.3074079909, 5.166060814
7.45, -0.9111951374, -1.62779461, -0.1088403793, 0.350704634, 5.156728724
7.5, -0.9831420886, -1.247291591, -0.09048109599, 0.3815338046, 5.143464219
7.55, -1.035700965, -0.8533385102, -0.07090239833, 0.3994588758, 5.126501242
7.6, -1.068347449, -0.4516364658, -0.05074798416, 0.404635589, 5.106626962
7.65, -1.08081142, -0.04671913861, -0.03063993677, 0.3977620616, 5.085061784
7.7, -1.073029687, 0.3575842051, -0.01115342926, 0.3800017205, 5.063259811
7.75, -1.045124109, 0.7576078288, 0.007204136246, 0.3528837829, 5.042674259
7.8, -0.9974073044, 1.149297389, 0.02400855892, 0.3181864939, 5.024535127
7.85, -0.9304149198, 1.527711064, 0.03892812651, 0.2778092962, 5.009680355
7.9, -0.8449600567, 1.886644224, 0.0517263873, 0.2336414212, 4.998468448
7.95, -0.7422017563, 2.218456198, 0.06225844618, 0.1874358754, 4.990782769
8, -0.623715428, 2.514177864, 0.07046130736, 0.140699125, 4.986118906
8.05, -0.4915496079, 2.763956902, 0.07633932151, 0.09460739324, 4.983730621
8.1, -0.3482518058, 2.957842958, 0.07994632841, 0.04995970741, 4.982800532
8.15, -0.1968481343, 3.086829088, 0.08136653207, 0.007175019474, 4.982601047
8.2, -0.04076800833, 3.143970715, 0.08069639435, -0.03366432882, 4.982618609
8.25, 0.116284031, 3.125339193, 0.07802978214, -0.07272727409, 4.982626745
8.3, 0.2704950096, 3.030575185, 0.07344820168, -0.1103183236, 4.98270591
8.35, 0.4181246563, 2.862901261, 0.06701723393, -0.1467483125, 4.983216489
8.4, 0.5556735324, 2.628604071, 0.05878937639, -0.1822104983, 4.984734296
8.45, 0.6800150219, 2.336142056, 0.04881258377, -0.2166789961, 4.987957285
8.5, 0.7884782477, 1.995116562, 0.03714306555, -0.2498415525, 4.993591356
8.55, 0.8788811039, 1.615339886, 0.02386045634, -0.2810722539, 5.002224552
8.6, 0.9495227045, 1.206163186, 0.009083349571, -0.3094438075, 5.014203023
8.65, 0.9991503353, 0.7761324229, -0.007016682056, -0.3337747788, 5.029526747
8.7, 1.026917249, 0.3329586166, -0.02420416211, -0.3527049704, 5.047785783
8.75, 1.032345539, -0.1162628021, -0.04217310499, -0.3647916018, 5.068156269
8.8, 1.015304391, -0.5646716954, -0.06054559406, -0.3686193707, 5.089468612
8.85, 0.9760094178, -1.005196149, -0.07887607727, -0.3629180782, 5.110348341
8.9, 0.9150440293, -1.430133734, -0.09666160661, -0.3466817268, 5.12941444
8.95, 0.8333990267, -1.830857952, -0.1133579353, -0.319282568, 5.145503301
9, 0.7325217126, -2.19774665, -0.1284010352, -0.2805724908, 5.15787276
9.05, 0.6143612189, -2.520416757, -0.1412331831, -0.2309627541, 5.166335135
9.1, 0.4813933641, -2.788310929, -0.151332283, -0.1714720201, 5.171275705
9.15, 0.3366077722, -2.991607777, -0.1582425902, -0.1037328378, 5.173535926
9.2, 0.1834438611, -3.122326513, -0.1616045544, -0.02994899637, 5.17417629
9.25, 0.02567127759, -3.175400991, -0.1611812314, 0.04719906516, 5.174172447
9.3, -0.132776994, -3.149454838, -0.1568787323, 0.1246968239, 5.174125996
9.35, -0.2879979685, -3.047056346, -0.1487585683, 0.1993748828, 5.174075059
9.4, -0.4363095785, -2.874366747, -0.1370404693, 0.2681075607, 5.173464366
9.45, -0.5744102926, -2.640267863, -0.1220952049, 0.3280108156, 5.171287693
9.5, -0.6994865651, -2.355191941, -0.1044279308, 0.3766204425, 5.166363876
9.55, -0.809260026, -2.029925728, -0.08465344038, 0.4120355714, 5.157669973
9.6, -0.9019792004, -1.674618707, -0.06346531658, 0.4330181276, 5.144642774
9.65, -0.9763697503, -1.298129048, -0.04160129983, 0.4390444916, 5.127373634
9.7, -1.031561298, -0.9077388643, -0.01980726078, 0.4303100807, 5.106653536
9.75, -1.067008469, -0.509196516, 0.001197953031, 0.4076906079, 5.083863872
9.8, -1.082420616, -0.10700755, 0.02075476347, 0.3726655732, 5.060743398
9.85, -1.077710542, 0.2951105616, 0.03829047299, 0.3272104988, 5.039086148
9.9, -1.05296842, 0.6936863756, 0.05334085194, 0.2736649524, 5.020435919
9.95, -1.008463606, 1.084931768, 0.06556467642, 0.2145838266, 5.005839786
10, -0.9446737932, 1.464221879, 0.07475057692, 0.1525798835, 4.995708098
10.05, -0.8623376854, 1.825686015, 0.08081597686, 0.09016634704, 4.989804557
10.1, -0.7625237695, 2.161986848, 0.08379836343, 0.02960932126, 4.987362018
10.15, -0.6467037215, 2.464368398, 0.08383964737, -0.02719921531, 4.987292916
10.2, -0.5168152891, 2.723036934, 0.08116492077, -0.07883663294, 4.988443679
10.25, -0.3752973198, 2.927890977, 0.07605746917, -0.1244026758, 4.989835123
10.3, -0.2250807185, 3.069535236, 0.0688323558, -0.1635226342, 4.990838199
10.35, -0.06952479775, 3.140416302, 0.05981116028, -0.1962981041, 4.991254695
10.4, 0.08770135046, 3.1358433, 0.04930041322, -0.2232097735, 4.991299443
10.45, 0.2427804221, 3.054647789, 0.03757585591, -0.2449842086, 4.991504975
10.5, 0.391928696, 2.899315897, 0.02487389402, -0.2624426612, 4.992583551
10.55, 0.5315704454, 2.675570819, 0.01139062896, -0.2763526061, 4.995281724
10.6, 0.658480207, 2.391537149, -0.002712164303, -0.2873012115, 5.000252309
10.65, 0.7698775093, 2.056717015, -0.01729558904, -0.2956048496, 5.007954854
10.7, 0.8634708354, 1.681020271, -0.03222871963, -0.3012618316, 5.018585524
10.75, 0.9374584098, 1.274029983, -0.04737243357, -0.3039488339, 5.032034026
10.8, 0.9905001533, 0.8445901745, -0.06256407007, -0.3030564785, 5.047867787
10.85, 1.021677226, 0.4007157352, -0.07760469745, -0.297756775, 5.065348232
10.9, 1.030453982, -0.05023388629, -0.09225038039, -0.2870943338, 5.083486532
10.95, 1.016653429, -0.5012036433, -0.1062084401, -0.2700936456, 5.10114384
11, 0.9804527045, -0.9450094439, -0.1191393333, -0.2458754478, 5.117173184
11.05, 0.9224002729, -1.373918565, -0.13066444, -0.2137755956, 5.130588059
11.1, 0.8434517335, -1.779341493, -0.1403797149, -0.173459543, 5.140729528
11.15, 0.7450162064, -2.151732708, -0.147874791, -0.125024487, 5.147393488
11.2, 0.629000601, -2.480787044, -0.1527566883, -0.06907975535, 5.150877872
11.25, 0.4978354952, -2.755982693, -0.1546767791, -0.00679482828, 5.151920095
11.3, 0.3544654014, -2.967451984, -0.1533591212, 0.06009557273, 5.151519386
11.35, 0.2022895213, -3.107062634, -0.1486277915, 0.1293376468, 5.150672823
11.4, 0.04504749685, -3.169494439, -0.1404305464, 0.1982592748, 5.150087623
11.45, -0.1133430261, -3.153045825, -0.1288561444, 0.263921436, 5.149951752
11.5, -0.2689774321, -3.059941267, -0.1141430667, 0.3233082008, 5.149838604
11.55, -0.4181555778, -2.896036985, -0.09667815721, 0.3735364145, 5.148787015
11.6, -0.5575445469, -2.669992965, -0.07698475033, 0.4120627069, 5.145545582
11.65, -0.6842908571, -2.392122096, -0.05570097178, 0.4368662216, 5.138918878
11.7, -0.7960726849, -2.073186545, -0.03354988068, 0.4465899136, 5.12812176
11.75, -0.8910956898, -1.723378123, -0.01130381708, 0.4406298434, 5.113046293
11.8, -0.9680456887, -1.351627087, 0.01025432398, 0.4191687325, 5.094372113
11.85, -1.026016036, -0.9652809631, 0.0303701347, 0.3831557747, 5.07349402
11.9, -1.064427563, -0.5701175845, 0.04835450191, 0.3342386635, 5.052286506
11.95, -1.08295598, -0.170616535, 0.06361598928, 0.2746560249, 5.032761719
12, -1.081477538, 0.229595758, 0.07568703936, 0.2070993095, 5.016698323
12.05, -1.06003965, 0.6272045318, 0.0842426968, 0.1345532411, 5.005321495
12.1, -1.018859595, 1.018635719, 0.08911100232, 0.06012365111, 4.999100442
12.15, -0.9583511957, 1.399518001, 0.09027464391, -0.01313861113, 4.997703213
12.2, -0.8791762072, 1.764244598, 0.08786389093, -0.08240873632, 5.000114474
12.25, -0.7823135495, 2.10571098, 0.08214130053, -0.1452443065, 5.004886829
12.3, -0.6691355461, 2.41531041, 0.07347919341, -0.1997163444, 5.010467026
12.35, -0.541476411, 2.683257818, 0.06233144167, -0.2445039263, 5.015521891
12.4, -0.4016756023, 2.899270646, 0.04920165858, -0.2789419006, 5.019190035
12.45, -0.2525790145, 3.053558442, 0.03461034507, -0.3030139728, 5.021205621
12.5, -0.09748581953, 3.137974806, 0.01906381447, -0.3172886272, 5.021875366
12.55, 0.05996165967, 3.147101204, 0.003027667364, -0.322802673, 5.021929654
12.6, 0.2159351863, 3.07900756, -0.01309285246, -0.3209052236, 5.022299958
12.65, 0.366603555, 2.935497912, -0.02896410676, -0.3130815286, 5.023887431
12.7, 0.508313502, 2.721788346, -0.0443264686, -0.3007792093, 5.027378179
12.75, 0.6377422573, 2.445724353, -0.05898854995, -0.2852580794, 5.033135794
12.8, 0.7520039336, 2.116759159, -0.07281485449, -0.267479376, 5.041173052
12.85, 0.8487041323, 1.744943457, -0.08570906653, -0.2480426969, 5.051183929
12.9, 0.9259486488, 1.340125732, -0.09759541012, -0.2271714636, 5.06260981
12.95, 0.9823198761, 0.9114691852, -0.1084004015, -0.2047420282, 5.074718474
13, 1.016837415, 0.4672990153, -0.1180369824, -0.1803483084, 5.086685128
13.05, 1.028918334, 0.0152287922, -0.1263925828, -0.1533928184, 5.097674585
13.1, 1.018348991, -0.4375186891, -0.1333222116, -0.1231953549, 5.106928033
13.15, 0.9852757826, -0.8836917143, -0.1386472569, -0.08911145358, 5.113855356
13.2, 0.930217315, -1.315588399, -0.1421603006, -0.05065331078, 5.118125953
13.25, 0.8540956417, -1.724731808, -0.1436358874, -0.007605729514, 5.119741021
13.3, 0.7582792936, -2.10173912, -0.1428467952, 0.03987126081, 5.119062806
13.35, 0.6446261161, -2.436473063, -0.1395849044, 0.09116280259, 5.116776183
13.4, 0.5155101995, -2.718531809, -0.1336852484, 0.1451533838, 5.113768539
13.45, 0.3738158578, -2.938068408, -0.1250512887, 0.2002253387, 5.110935601
13.5, 0.2228843382, -3.086836173, -0.1136789784, 0.2543097558, 5.108948898
13.55, 0.06640665052, -3.159258063, -0.09967689854, 0.3049926076, 5.10804508
13.6, -0.09173229143, -3.15326073, -0.08327978942, 0.3496712463, 5.107906313
13.65, -0.2476402835, -3.070638748, -0.06485326039, 0.3857478887, 5.107685461
13.7, -0.3976080962, -2.916829867, -0.0448883162, 0.4108396311, 5.106190813
13.75, -0.5382744073, -2.700148258, -0.02398546706, 0.4229810431, 5.102194573
13.8, -0.6667426776, -2.430670107, -0.002829377859, 0.4207965464, 5.094786429
13.85, -0.7806391019, -2.119035836, 0.0178439658, 0.4036250303, 5.083674818
13.9, -0.8781137719, -1.775410676, 0.0372849042, 0.3715867604, 5.069350813
13.95, -0.9577972844, -1.408759057, 0.05476959363, 0.3255904506, 5.053067088
14, -1.018730214, -1.026485935, 0.06963843222, 0.2672847373, 5.036633776
14.05, -1.060283372, -0.6344173972, 0.08133083804, 0.1989624169, 5.022078703
14.1, -1.082084124, -0.2370486981, 0.08941427074, 0.1234277126, 5.011250408
14.15, -1.083960041, 0.16202431, 0.09360591195, 0.04383707757, 5.005452982
14.2, -1.065907058, 0.5595682988, 0.09378593149, -0.03647661401, 5.005192285
14.25, -1.028085692, 0.9521376529, 0.09000173708, -0.1141874651, 5.010087381
14.3, -0.9708456533, 1.335523909, 0.08246304304, -0.1861589775, 5.018965039
14.35, -0.8947760269, 1.704294977, 0.07152802353, -0.2496167391, 5.030115776
14.4, -0.8007747085, 2.051499318, 0.05768127133, -0.3023018351, 5.041654649
14.45, -0.6901267807, 2.368617975, 0.04150478583, -0.3425944478, 5.051905862
14.5, -0.5645774678, 2.645840058, 0.02364375681, -0.3695965967, 5.059723608
14.55, -0.4263822893, 2.872700884, 0.004769449453, -0.3831638224, 5.064675831
14.6, -0.2783167414, 3.039049342, -0.01445805885, -0.3838786221, 5.067051561
14.65, -0.123631918, 3.136212398, -0.03342430834, -0.3729639887, 5.067698858
14.7, 0.03404849552, 3.158132836, -0.05158917302, -0.3521430166, 5.06774583
14.75, 0.1908819498, 3.102217766, -0.06850748875, -0.3234587835, 5.068286781
14.8, 0.3429912871, 2.969684771, -0.08384010807, -0.2890754152, 5.070118472
14.85, 0.4866517156, 2.765324843, -0.09735503701, -0.251084304, 5.073587287
