# t, theta1, omega1, theta2, omega2, E_total
0, 0.2, 0.1, 0.2, -0, 0.3960937428
0.05, 0.2025486845, 0.001742951419, 0.1975686884, -0.09705775627, 0.3960938032
0.1, 0.2001735573, -0.09655833152, 0.190333043, -0.1917880329, 0.3960946865
0.15, 0.192931413, -0.1925475261, 0.1784667024, -0.2819125612, 0.3960983325
0.2, 0.1809958584, -0.2839167746, 0.1622549567, -0.365251857, 0.3961074544
0.25, 0.1646536396, -0.3684567522, 0.1420885599, -0.4397751899, 0.3961248753
0.3, 0.1442984524, -0.4441072405, 0.1184550441, -0.5036503884, 0.396152806
0.35, 0.1204222217, -0.509007664, 0.09192757333, -0.5552922002, 0.3961922216
0.4, 0.09360387991, -0.5615462984, 0.06315145463, -0.5934072418, 0.396242476
0.45, 0.06449575832, -0.6004061387, 0.03282853737, -0.6170330867, 0.3963012438
0.5, 0.03380782144, -0.6246049054, 0.001699859048, -0.6255689128, 0.3963648109
0.55, 0.002290102763, -0.6335265154, -0.02947298135, -0.6187954056, 0.3964286587
0.6, -0.02928616833, -0.6269416279, -0.05992714092, -0.5968822993, 0.3964882194
0.65, -0.06014815674, -0.6050155711, -0.08891790283, -0.5603829163, 0.3965396432
0.7, -0.08954107612, -0.56830297, -0.1157374554, -0.5102161556, 0.3965804123
0.75, -0.1167472494, -0.5177295269, -0.1397324854, -0.4476373932, 0.3966096744
0.8, -0.1411039663, -0.4545624558, -0.1603200843, -0.3742004926, 0.3966282279
0.85, -0.1620196258, -0.3803718417, -0.1770015849, -0.2917134731, 0.3966381716
0.9, -0.1789877732, -0.2969855603, -0.189374076, -0.2021903168, 0.3966422996
0.95, -0.191598778, -0.2064403239, -0.1971394546, -0.1078009609, 0.3966433797
1, -0.1995490109, -0.1109309721, -0.2001109625, -0.01082087118, 0.3966434721
1.05, -0.2026474743, -0.01275944135, -0.1982172069, 0.08641912622, 0.3966434343
1.1, -0.2008198881, 0.08571590026, -0.1915036817, 0.1815826836, 0.3966427174
1.15, -0.1941102543, 0.1821305022, -0.1801317994, 0.2723777293, 0.396639496
1.2, -0.1826799121, 0.2741637984, -0.1643754263, 0.356606551, 0.3966311049
1.25, -0.1668040789, 0.3595896727, -0.1446149056, 0.4322161994, 0.3966146893
1.3, -0.1468658578, 0.4363273051, -0.1213285614, 0.4973486829, 0.3965879302
1.35, -0.1233477021, 0.5024919064, -0.09508172239, 0.5503897215, 0.3965496882
1.4, -0.09682036944, 0.5564441141, -0.06651338277, 0.5900141399, 0.3965004226
1.45, -0.06792947919, 0.5968361105, -0.03632072691, 0.6152254913, 0.3964422875
1.5, -0.03737989638, 0.6226520014, -0.005241870954, 0.6253873412, 0.3963788774
1.55, -0.00591829513, 0.6332398166, 0.02596270204, 0.6202438981, 0.3963146689
1.6, 0.02568561741, 0.628332743, 0.0565294359, 0.5999283377, 0.3962542748
1.65, 0.05665863195, 0.6080578687, 0.08571108701, 0.5649581285, 0.3962016679
1.7, 0.08624367526, 0.5729317026, 0.1127955574, 0.5162177602, 0.3961595414
1.75, 0.1137188995, 0.5238428583, 0.1371235771, 0.4549302987, 0.3961289398
1.8, 0.1384156131, 0.4620233463, 0.1581047292, 0.3826199466, 0.3961092338
1.85, 0.1597345367, 0.3890107045, 0.1752314315, 0.3010681712, 0.3960984383
1.9, 0.1771599908, 0.3066035927, 0.1880906161, 0.2122659091, 0.3960937955
1.95, 0.1902717547, 0.2168134281, 0.1963729664, 0.1183639451, 0.3960924927
2, 0.1987544539, 0.1218142153, 0.1998796593, 0.02162290875, 0.3960923572
2.05, 0.2024044259, 0.02389204507, 0.1985266134, -0.07563640007, 0.3960923792
2.1, 0.2011340699, -0.07460502212, 0.1923462644, -0.1710822762, 0.3960929513
2.15, 0.1949737021, -0.1713166288, 0.1814868823, -0.2624212815, 0.3960957759
2.2, 0.1840709309, -0.2639197091, 0.1662094222, -0.3474477175, 0.3961034591
2.25, 0.1686875469, -0.3501784358, 0.1468818919, -0.4240935297, 0.3961188766
2.3, 0.1491938997, -0.4279947005, 0.1239712193, -0.4904782325, 0.3961444485
2.35, 0.1260607462, -0.4954587436, 0.09803264578, -0.5449577378, 0.3961814765
2.4, 0.09984858354, -0.5508988127, 0.06969674181, -0.5861702595, 0.3962296934
2.45, 0.07119456174, -0.5929279873, 0.03965424898, -0.6130769283, 0.396287126
2.5, 0.04079717595, -0.6204857354, 0.008639077674, -0.6249945281, 0.3963503118
2.55, 0.009399067823, -0.6328715284, -0.02259008423, -0.6216179542, 0.3964148279
2.6, -0.02223160205, -0.6297680189, -0.05326898937, -0.603030593, 0.3964760254
2.65, -0.0533206388, -0.6112519012, -0.08264724548, -0.5697017477, 0.3965298123
2.7, -0.08310751144, -0.5777915278, -0.1100072795, -0.5224713202, 0.3965733179
2.75, -0.1108646024, -0.5302314789, -0.1346822414, -0.4625230045, 0.3966052998
2.8, -0.1359153844, -0.4697653689, -0.1560723222, -0.3913480567, 0.3966262091
2.85, -0.157650986, -0.39789902, -0.1736590771, -0.3107021489, 0.3966379081
2.9, -0.1755447294, -0.3164065957, -0.1870174708, -0.2225578366, 0.3966431102
