# t, theta1, omega1, theta2, omega2, E_total
0, 0.2, 0.1, 0.2, -0, 0.3960937428
0.05, 0.2025486891, 0.001743324172, 0.1975686931, -0.09705738352, 0.3960937488
0.1, 0.2001736311, -0.09655540294, 0.1903331168, -0.1917851044, 0.3960938371
0.15, 0.1929317792, -0.1925379372, 0.1784670687, -0.2819029725, 0.3960942017
0.2, 0.1809969837, -0.2838949975, 0.1622560819, -0.3652300813, 0.3960951139
0.25, 0.1646562883, -0.3684165228, 0.1420912085, -0.4397349647, 0.3960968558
0.3, 0.1443037042, -0.4440423656, 0.1184602954, -0.503585524, 0.3960996486
0.35, 0.1204314464, -0.5089128693, 0.09193679666, -0.5551974269, 0.3961035895
0.4, 0.09361867089, -0.561418027, 0.06316624289, -0.5932790065, 0.396108614
0.45, 0.06451782995, -0.6002432138, 0.03285060408, -0.6168702135, 0.3961144894
0.5, 0.03383887743, -0.6244089817, 0.00173090724, -0.6253730512, 0.3961208443
0.55, 0.002331688876, -0.6333022626, -0.02943140612, -0.618571211, 0.3961272269
0.6, -0.02923281349, -0.6266966187, -0.05987379931, -0.5966373208, 0.3961331807
0.65, -0.06008223792, -0.6047598765, -0.08885199745, -0.5601271937, 0.3961383208
0.7, -0.08946235075, -0.5680484967, -0.1156587399, -0.5099615617, 0.3961423958
0.75, -0.1166560985, -0.5174891582, -0.1396413355, -0.4473967827, 0.3961453205
0.8, -0.1410014194, -0.4543490776, -0.1602175228, -0.3739867359, 0.3961471748
0.85, -0.1619073358, -0.380197345, -0.176889258, -0.2915384663, 0.3961481686
0.9, -0.1788679432, -0.2968599112, -0.1892541808, -0.2020640548, 0.3961485811
0.95, -0.1914740444, -0.2063707824, -0.1970146237, -0.1077307554, 0.3961486891
1, -0.1994222933, -0.110921526, -0.1999841145, -0.01081077903, 0.3961486983
1.05, -0.2025218029, -0.01281050068, -0.1980913749, 0.08636861888, 0.3961486945
1.1, -0.2006982232, 0.08560752528, -0.1913818325, 0.181474695, 0.3961486229
1.15, -0.1939953114, 0.1819713401, -0.1800166582, 0.2722187319, 0.3961483009
1.2, -0.1825740072, 0.2739631951, -0.1642693211, 0.3564058583, 0.3961474623
1.25, -0.1667090054, 0.3593590522, -0.1445196428, 0.4319852306, 0.3961458216
