# t, theta1, omega1, theta2, omega2, E_total
3.2, -0.185584477, 0.2538948417, -0.1681724649, 0.3384839096, 0.3963642831
3.25, -0.1706827819, 0.3409729455, -0.1492682887, 0.416155944, 0.3963570541
3.3, -0.1516244434, 0.4198215328, -0.1267249557, 0.4837506318, 0.3963448479
3.35, -0.1288701329, 0.4885076744, -0.1010892063, 0.5395957897, 0.3963269361
3.4, -0.102971522, 0.5453324451, -0.07298460201, 0.5822981303, 0.3963033591
3.45, -0.07455838839, 0.5888780182, -0.0430965244, 0.6107844286, 0.3962750135
3.5, -0.04432348506, 0.618049649, -0.01215529876, 0.6243349585, 0.3962435626
3.55, -0.01300549238, 0.6321099048, 0.01908210994, 0.6226067862, 0.396211187
3.6, 0.01862949424, 0.6307026457, 0.04985127198, 0.6056450751, 0.3961802234
3.65, 0.04980737786, 0.6138648374, 0.07939971162, 0.5738814628, 0.3961527715
3.7, 0.07976573709, 0.5820252023, 0.1070059221, 0.5281196532, 0.3961303505
3.75, 0.1077731067, 0.5359898272, 0.1319973635, 0.469509416, 0.396113678
3.8, 0.1331472357, 0.4769159374, 0.153766912, 0.3995110263, 0.3961026182
3.85, 0.1552717801, 0.4062759145, 0.1717873435, 0.3198526452, 0.3960963043
3.9, 0.1736110063, 0.3258141258, 0.1856235635, 0.2324831946, 0.3960934075
3.95, 0.1877222102, 0.2374991937, 0.1949424156, 0.139522944, 0.3960924887
4, 0.1972656858, 0.1434739875, 0.199519997, 0.04321341557, 0.3960923572
4.05, 0.2020121717, 0.04600498514, 0.1992464717, -0.05413251116, 0.3960923589
4.1, 0.20184777, -0.0525680956, 0.1941284004, -0.1501800783, 0.3960925314
4.15, 0.1967763597, -0.1498821957, 0.1842886015, -0.2426219533, 0.3960935957
4.2, 0.1869195207, -0.2436006207, 0.1699635435, -0.3292277484, 0.3960967844
4.25, 0.1725139689, -0.331462995, 0.1514982514, -0.4078939605, 0.3961035433
4.3, 0.1539064807, -0.4113357178, 0.1293387088, -0.4766940469, 0.3961151709
